,id,city_name,Humidity,Longitud,Latitud,Temperatura,Nubes,Velocidad
0,5282297,Bethel,91,-73.414,41.3712,65.59,100,13.09
1,5122534,Jamestown,100,-79.2353,42.097,44.58,90,17.27
2,1218436,Saýat,56,63.8803,38.7839,69.8,75,13.8
3,149812,Sokoni,100,39.55,-6.4333,73.4,40,9.4
4,2155415,New Norfolk,47,147.0587,-42.7826,66.31,24,1.99
5,1819729,Hong Kong,61,114.1577,22.2855,78.44,20,8.05
6,1337612,Dhidhdhoo,73,73.1,6.8833,83.89,100,5.84
7,1735106,George Town,74,100.3354,5.4112,87.08,20,2.3
8,3423146,Ilulissat,80,-51.1,69.2167,30.2,100,4.41
9,2075265,Busselton,76,115.3333,-33.65,60.01,40,1.99
10,1633034,Palu,59,119.8707,-0.8917,90.46,34,3.8
11,5983720,Iqaluit,93,-68.5145,63.7506,33.4,90,3.44
12,2121385,Severo-Kuril'sk,75,156.125,50.6789,40.91,21,8.39
13,3369157,Cape Town,82,18.4232,-33.9258,57.6,20,11.5
14,1307741,Myitkyina,28,97.4,25.3833,98.04,13,3.15
15,3833367,Ushuaia,75,-68.3,-54.8,39.2,90,5.75
16,1525988,Ayagoz,53,80.4392,47.9714,66.99,71,13.27
17,1250161,Batticaloa,66,81.6924,7.7102,85.57,71,5.66
18,4030556,Rikitea,69,-134.9692,-23.1203,77.25,89,12.55
19,2110227,Butaritari,71,172.7902,3.0707,83.88,99,9.57
20,5848280,Kapaa,59,-159.319,22.0752,72.66,11,3.0
21,5106841,Albany,90,-73.9662,42.6001,55.08,100,2.13
22,2015707,Takhtamygda,47,123.5667,54.1,49.55,65,7.85
23,1282256,Hithadhoo,71,73.0833,-0.6,83.95,57,6.62
24,2020838,Lensk,68,114.9278,60.7253,39.42,85,8.95
25,2126199,Cherskiy,84,161.3,68.75,20.59,64,10.85
26,2264557,Ponta do Sol,72,-17.1,32.6667,51.58,47,1.99
27,4726521,San Patricio,88,-97.5169,28.017,75.06,90,8.05
28,2074865,Carnarvon,50,113.6333,-24.8667,80.6,100,17.27
29,2647311,Haverfordwest,89,-4.9691,51.8017,40.5,91,1.99
30,3466165,Cidreira,78,-50.2056,-30.1811,64.62,0,7.18
31,2208248,Kaitangata,58,169.8464,-46.2817,54.0,41,14.0
32,1280849,Kashgar,14,75.9797,39.4547,75.2,0,8.95
33,5365918,Lemoore,56,-119.7829,36.3008,71.33,1,4.61
34,3372707,Ribeira Grande,65,-28.7,38.5167,57.49,100,7.23
35,1488903,Turukhansk,97,87.9833,65.8167,37.04,100,16.67
36,3471451,Arraial do Cabo,67,-42.0278,-22.9661,72.36,24,8.39
37,1633419,Padang,81,100.3543,-0.9492,80.11,94,1.9
38,6111862,Port Hardy,93,-127.4199,50.6996,51.1,90,8.21
39,710071,Desna,62,30.7605,50.9273,53.56,99,11.18
40,2206939,Bluff,75,168.3333,-46.6,53.01,27,14.0
41,3366880,Hermanus,92,19.2345,-34.4187,51.01,62,3.94
42,107304,Buraidah,39,43.975,26.326,66.2,0,4.61
43,3874787,Punta Arenas,93,-70.9167,-53.15,42.4,90,5.75
44,3652764,Puerto Ayora,85,-90.3518,-0.7393,75.4,40,8.03
45,2025630,Chara,92,118.2631,56.9064,27.93,97,2.01
46,3628473,San Cristobal,88,-72.225,7.7669,77.0,75,10.36
47,2138555,Poum,60,164.0167,-20.2333,77.5,86,15.26
48,1651810,Airai,58,125.4092,-8.9266,74.89,31,2.86
49,1651103,Atambua,61,124.8925,-9.1061,83.91,24,3.33
50,6170031,Tuktoyaktuk,74,-133.0374,69.4541,26.6,1,13.8
51,3372964,Lagoa,61,-27.9833,39.05,56.48,100,4.52
52,2164837,Goulburn,63,149.7167,-34.75,66.96,0,5.12
53,3622716,Nicoya,79,-85.452,10.1483,77.88,87,4.16
54,2742416,Barcelos,100,-8.6151,41.5388,45.91,0,3.8
55,2098329,Daru,70,143.2092,-9.0763,83.01,42,11.12
56,3157549,Finnsnes,86,17.9811,69.2296,24.8,75,2.3
57,1015776,Bredasdorp,92,20.0403,-34.5322,51.01,4,4.36
58,6201424,Mataura,75,168.8643,-46.1927,53.01,27,14.0
59,5882953,Aklavik,39,-135.0107,68.2191,42.8,27,4.61
60,4972220,Millinocket,76,-68.7098,45.6573,52.88,90,4.61
61,4944903,Nantucket,94,-70.0995,41.2835,54.75,90,17.27
62,2206854,Gisborne,59,178.0042,-38.6533,68.0,1,5.08
63,3899695,Ancud,94,-73.8203,-41.8697,52.97,90,11.5
64,5116508,Elmont,88,-73.7129,40.7009,64.81,90,17.27
65,6316343,Alta Floresta,96,-56.0861,-9.8756,69.53,79,1.43
66,2136825,Isangel,69,169.2667,-19.55,80.6,75,9.22
67,987648,Koster,90,26.8976,-25.863,53.33,100,2.75
68,546105,Nikolskoye,69,30.7861,59.7035,35.33,0,4.47
69,4032243,Vaini,94,-175.2,-21.2,75.2,90,12.66
70,4020109,Atuona,70,-139.0333,-9.8,79.32,9,5.28
71,3421193,Paamiut,84,-49.6678,61.994,36.3,6,3.15
72,286621,Salalah,79,54.0924,17.0151,84.2,75,8.05
73,5866583,Saint Paul Harbor,81,-152.4072,57.79,44.6,90,2.77
74,3418910,Upernavik,57,-56.1549,72.7868,22.51,98,4.97
75,1500933,Labytnangi,92,66.4183,66.6572,27.88,100,4.9
76,86049,Jalu,17,21.5482,29.0331,77.04,0,8.46
77,3115739,Narón,100,-8.1528,43.5167,41.88,40,2.3
78,2017155,Saskylakh,99,114.0833,71.9167,34.02,100,7.47
79,5563839,Fortuna,93,-124.1573,40.5982,48.99,1,3.44
80,6096551,Pangnirtung,75,-65.7125,66.1451,30.45,100,5.7
81,2012530,Zhigansk,99,123.3711,66.7697,33.03,100,6.46
82,3382160,Cayenne,100,-52.3333,4.9333,76.05,90,4.16
83,1259385,Port Blair,79,92.75,11.6667,87.8,40,3.44
